Year,Susceptibility to R6 Strains,Susceptibility to non-R6 Strains,Mildew Incidence,DiseaseinApril,DiseaseinMay,DiseaseinJune,DiseaseinJuly,Flag shoot incidence,Pruning Quality Final,Initial Strain,Annual_costs,Active_ingredient,Weighted_dc_aprmay1,Weighted_dc_aprmay2,Weighted_dc_mayjun1,Weighted_dc_mayjun2,Weighted_dc_junjul1,Weighted_dc_junjul2,Monthly_cost_June,Monthly_cost_July,Quadrant,Synthetic,Nonsynthetic,Mixture,SyntheticinApril,SyntheticinMay,SyntheticinJune,SyntheticinJuly,NonsyntheticinApril,NonsyntheticinMay,NonsyntheticinJune,NonsyntheticinJuly,MixtureinApril,MixtureinMay,MixtureinJune,MixtureinJuly,Monthly_ingredient_June,Monthly_ingredient_July
2014,4,0,0.025,0,0,0.1,0,0,4,0,154.6075701,8,1.97E-24,1.51E-22,0.000267049,2.568180795,2.381533247,2.145953845,7.945598115,32.3267172,NorthEast,1,7,0,0,0,0,0,0,2,4,1,0,0,0,0,4,1
2014,5,0,0.1075,0,0,0,0.43,0,2,0,588.6236279,8,3.57E-98,1.49E-67,0.00000306,5.84E-09,0.101537218,0.039164722,0,21.6295687,NorthWest,4,4,1,0,0,0,1,0,0,1,2,0,0,0,0,0,3
2014,4,0,0.0025,0,0,0,0.01,0,2,0,588.6236279,8,1.94E-98,1.05E-67,0.00000299,5.45E-09,0.08589414,0.028899603,0,21.6295687,NorthWest,4,4,1,0,0,0,1,0,0,1,2,0,0,0,0,0,3
2014,4,4,0.0475,0,0,0,0.19,0,3,0,588.6236279,8,5.75E-98,1.96E-67,0.00000321,6.03E-09,0.102861379,0.043332226,0,21.6295687,NorthWest,4,4,1,0,0,0,1,0,0,1,2,0,0,0,0,0,3
2014,4,0,0.115,0,0,0.03,0.43,0,2,2,588.6236279,8,6.80E-97,8.02E-67,0.00000337,7.80E-09,0.14059202,0.079145239,0,21.6295687,NorthWest,4,4,1,0,0,0,1,0,0,1,2,0,0,0,0,0,3
2014,3,3,0.005,0,0,0,0.02,0,1,0,390.5186827,6,1.86E-95,4.93E-66,0.00000392,1.19E-08,0.148358426,0.054626025,0,21.6295687,NorthWest,2,4,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2
2014,4,0,0.06,0,0,0.06,0.18,0,2,2,360.1029869,5,5.20E-94,3.25E-65,0.00000439,1.74E-08,0.428418214,0.131734122,0,21.6295687,NorthWest,2,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
2014,1,1,0,0,0,0,0,0,3,0,205.3100205,4,1.85E-92,2.56E-64,0.00000514,2.73E-08,0.057272306,0.015019089,0,21.6295687,NorthWest,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2
2014,4,0,0.0075,0,0,0.02,0.01,0,2,2,353.7465084,4,2.79E-91,1.25E-63,0.00000492,3.37E-08,0.242134993,0.03540531,0,21.6295687,NorthWest,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,3,3,0,0,0,0,0,0,1,0,390.5186827,6,1.53E-96,1.09E-66,0.00000361,8.85E-09,0.000196684,5.25E-08,0.00E+00,21.6295687,NorthWest,2,4,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2
2014,3,3,0,0,0,0,0,0,2,0,205.3100205,4,7.97E-106,5.24E-72,0.00000196,8.33E-10,0.0000609,6.26E-09,0.00E+00,21.6295687,NorthWest,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2
2014,1,1,0,0,0,0,0,0,3,0,352.2182979,5,3.66E-106,3.44E-72,0.00000184,7.60E-10,0.0000679,6.79E-09,0.00E+00,21.6295687,NorthWest,2,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2
2014,4,4,0.0025,0,0,0,0.01,0,1,0,615.672063,10,2.49E-188,2.32E-120,0.000711212,0.169616355,0.090862655,0.034497278,0,265.7304321,SouthEast,4,6,0,0,0,1,1,0,0,4,2,0,0,0,0,0,3
2014,2,2,0,0,0,0,0,0,1,0,611.7720583,9,5.05E-189,9.04E-121,0.000694124,0.156845875,0.087891366,0.03269904,0,265.7304321,SouthEast,3,6,1,0,0,1,2,0,0,4,1,0,0,0,1,0,3
2014,1,1,0.005,0,0,0,0.02,0,2,0,611.7720583,9,2.53E-187,1.02E-119,0.000534569,0.140808178,0.091585335,0.035669074,0,265.7304321,SouthEast,3,6,1,0,0,1,2,0,0,4,1,0,0,0,1,0,3
2014,0,0,0,0,0,0,0,0,1,0,231.1559311,7,6.57E-186,6.84E-119,0.000292884,0.095914797,0.099359899,0.041881044,0,78.1497702,SouthEast,2,5,0,0,0,1,1,0,0,4,0,0,0,0,0,0,1
2014,1,1,0.0075,0,0,0.01,0.02,0,3,1,707.7860817,11,1.98E-188,1.94E-120,0.001421653,4.787012545,0.296838949,0.297466804,0,125.8233589,SouthEast,5,6,0,0,0,1,1,0,0,4,1,0,0,0,0,0,2
2014,3,3,0.022809278,0,0,0.05,0.041237113,0,2,1,410.0667605,7,1.38E-187,5.84E-120,0.000530532,3.064286231,0.260415758,0.212048823,0,69.13744991,SouthEast,4,3,0,0,0,1,1,0,0,2,1,0,0,0,0,0,2
2014,3,3,0.0025,0,0,0.01,0,0,1,0,556.4118187,10,2.61E-185,1.33E-118,0.00044037,1.971338516,0.140823727,0.156952974,9.012320293,18.54703803,SouthEast,5,5,1,0,0,0,2,0,1,3,1,0,0,0,1,3,3
2014,3,3,0.0025,0,0,0,0.01,0,2,0,484.7595319,5,1.61E-186,2.56E-119,0.001477225,7.173168158,0.242355313,0.288162208,0,53.76865112,SouthEast,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2014,3,3,0.0175,0,0,0.04,0.03,0,1,0,841.2732996,10,9.14E-186,7.02E-119,0.00128885,6.036553246,0.258058876,0.278153973,12.19055954,53.76865112,SouthEast,6,4,1,0,0,1,1,0,2,0,1,0,0,0,0,1,2
2014,1,1,0.0025,0,0,0,0.01,0,1,0,428.0914011,10,9.07E-185,2.76E-118,0.000614977,1.665935797,0.165446666,0.142671703,12.19055954,74.97153095,SouthEast,4,6,0,0,0,1,1,0,2,3,1,0,0,0,0,4,2
2014,1,1,0,0,0,0,0,0,3,0,403.710282,6,2.14E-192,9.26E-123,0.000995706,1.274080955,0.153722257,0.1418033,0,53.76865112,SouthEast,4,2,0,0,0,1,1,0,0,0,2,0,0,0,0,0,3
2014,3,3,0.0175,0,0,0.02,0.05,0,1,0,653.3501499,8,1.46E-191,2.92E-122,0.001041203,1.673246484,0.222503631,0.203539471,12.19055954,53.76865112,SouthEast,4,4,0,0,0,1,1,0,2,0,1,0,0,0,0,1,2
2014,3,3,0.0125,0,0,0,0.05,0,2,0,706.076121,12,1.38E-191,2.81E-122,0.00118685,2.737131512,0.188665098,0.195807934,12.19055954,65.95921066,SouthEast,6,6,1,0,0,1,2,0,2,2,1,0,0,0,1,3,3
2014,3,3,0.0125,0,0,0.03,0.02,0,2,1,425.4355593,9,4.07E-195,2.47E-124,0.004520066,38.95977089,0.258921913,0.36661338,0,84.50624869,SouthEast,4,5,0,0,0,1,1,0,0,4,1,0,0,0,0,0,2
2014,3,3,0.01,0,0,0,0.04,0,5,0,156.7425463,3,6.49E-195,3.26E-124,0.002884557,20.18426538,0.197501903,0.272253839,0,53.76865112,SouthEast,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2014,3,3,0.0275,0,0,0.05,0.06,0,2,1,403.710282,6,4.13E-195,2.61E-124,0.001886248,9.808746293,0.27401551,0.343892722,0,62.78097141,SouthEast,4,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,2
2014,4,0,0.0075,0,0,0.03,0,0,2,2,563.0729215,10,2.10E-195,1.86E-124,0.001741174,5.867851801,0.236476308,0.33682028,0,78.1497702,SouthEast,5,5,1,0,0,1,3,0,0,4,1,0,0,0,1,0,4
2014,0,0,0,0,0,0,0,0,1,0,227.9776919,6,3.60E-199,1.18E-126,0.00294542,10.58585323,0.149523201,0.153788888,0,65.95921066,SouthEast,2,4,0,0,0,1,1,0,0,2,1,0,0,0,0,0,2
2014,3,3,0.01,0,0,0.01,0.03,0,3,1,406.8885213,7,9.30E-199,2.04E-126,0.003283297,14.41886197,0.267875846,0.26049054,0,65.95921066,SouthEast,4,3,0,0,0,1,1,0,0,2,1,0,0,0,0,0,2
2014,1,1,0.0025,0,0,0.01,0,0,4,2,307.0928654,5,1.20E-199,6.07E-127,0.0040018,14.89190931,0.142554221,0.125641296,0,69.13744991,SouthEast,3,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1
2014,3,3,0.0825,0,0.04,0.13,0.16,0,2,1,410.0667605,7,4.59E-192,1.49E-122,0.038057664,149.4462978,2.924806301,2.629459222,0,69.13744991,SouthEast,4,3,0,0,0,1,1,0,0,2,1,0,0,0,0,0,2
2014,3,3,0.0025,0,0,0,0.01,0,1,0,644.3378296,7,8.68E-191,7.81E-122,6.86E-09,4.71E-19,0.00000005,1.42E-15,0.00E+00,65.95921066,SouthEast,4,3,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1
2014,1,1,0,0,0,0,0,0,1,0,747.3117247,9,3.29E-190,1.72E-121,7.54E-09,5.74E-19,5.83E-08,1.74E-15,0.00E+00,65.95921066,SouthEast,5,4,1,0,0,1,2,0,0,2,1,0,0,0,1,0,3
2014,3,3,0.005,0,0,0,0.02,0,3,0,500.8500962,8,1.75E-183,1.56E-117,1.04E-08,2.73E-18,8.67E-08,4.75E-15,0.00E+00,65.95921066,SouthWest,5,3,0,0,0,1,1,0,0,2,1,0,0,0,0,0,2
2014,4,4,0,0,0,0,0,0,4,0,406.8885213,7,8.52E-178,3.24E-114,1.52E-08,1.16E-17,0.000000148,1.42E-14,0.00E+00,65.95921066,SouthWest,4,3,0,0,0,1,1,0,0,2,1,0,0,0,0,0,2
2014,0,0,0,0,0,0,0,0,1,0,218.9653716,5,1.20E-177,3.97E-114,1.54E-08,1.20E-17,0.000000149,1.45E-14,0.00E+00,65.95921066,SouthWest,2,3,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1
2014,5,0,0.0825,0,0,0.28,0.05,0,4,0,393.2230045,9,1.69E-18,1.62E-19,0.000592012,4.958057043,4.666358536,5.883320697,3.178239246,192.3507942,NorthEast,3,6,0,0,0,0,0,0,1,5,0,0,0,0,0,5,0
2014,4,0,0.325,0,0,1,0.3,0,3,0,404.8911666,8,4.61E-20,3.53E-20,0.00057654,4.786314741,19.68947413,14.43974876,3.178239246,204.0189563,NorthEast,3,5,0,0,0,0,0,0,1,4,0,0,0,0,0,4,0
2014,1,1,0,0,0,0,0,0,4,0,264.9944838,9,6.87E-19,3.03E-19,0.000591451,13.18960275,0.624856169,1.525452327,6.356478492,60.94403434,NorthWest,3,6,0,0,0,0,0,0,1,5,0,0,0,0,0,5,0
2014,3,3,0.0225,0,0.01,0.02,0.06,0.01,3,2,405.8100852,10,5.78E-13,9.04E-16,0.000972617,17.11089982,0.627599737,1.546701099,3.178239246,40.27231531,NorthWest,4,6,1,0,0,0,1,0,1,4,1,0,0,0,1,4,2
2014,3,3,0.0175,0,0,0.01,0.06,0,4,0,261.8162446,9,4.84E-10,2.89E-14,0.000926259,22.54068003,0.649825151,1.7909572,3.178239246,60.94403434,NorthWest,3,6,0,0,0,0,0,0,1,5,0,0,0,0,0,5,0
2014,4,0,0.13,0,0,0.4,0.12,0,1,0,588.5002855,12,5.48E-16,1.62E-17,0.000605085,6.88071517,1.004869316,2.401386991,3.178239246,58.29695589,NorthWest,5,7,2,0,0,0,2,0,1,4,2,0,0,0,2,4,4
2014,4,0,0.2775,0,0,0.75,0.36,0,4,0,740.5787644,13,5.46E-09,4.49E-15,0.000833416,25.23046465,1.349500633,3.263920999,3.178239246,210.3754348,NorthWest,5,8,2,0,0,0,2,0,1,5,2,0,0,0,2,5,4
2014,4,0,0.2425,0,0,0.49,0.48,0,3,0,740.5787644,13,5.02E-13,3.74E-17,0.000682587,10.34328082,1.747004587,4.337309852,3.178239246,210.3754348,NorthWest,5,8,2,0,0,0,2,0,1,5,2,0,0,0,2,5,4
2014,4,4,0.0025,0,0,0.01,0,0,4,0,570.4756449,12,6.28E-09,1.45E-13,0.000469871,13.08915919,0.18547131,0.454706714,3.178239246,40.27231531,NorthWest,5,7,2,0,0,0,2,0,1,4,2,0,0,0,2,4,4
2014,4,0,0.2775,0,0,0.89,0.22,0,3,0,570.4756449,12,2.45E-14,4.14E-17,0.000744028,9.333139368,2.787059181,8.096288434,3.178239246,40.27231531,NorthWest,5,7,2,0,0,0,2,0,1,4,2,0,0,0,2,4,4
2014,3,3,0.05,0,0.01,0.09,0.1,0,5,2,200.4894405,8,1.19E-20,3.02E-20,0.001021233,30.62891253,0.78502479,1.20636667,6.356478492,48.76223815,NorthWest,2,6,0,0,0,0,0,0,1,3,2,0,0,0,0,3,2
2014,5,0,0.1925,0,0.03,0.3,0.44,0,5,2,393.2230045,9,0.00000127,7.01E-13,0.009155427,53.57461531,2.26899186,2.244556896,3.178239246,192.3507942,NorthWest,3,6,0,0,0,0,0,0,1,5,0,0,0,0,0,5,0
2014,3,3,0.04,0.01,0,0.08,0.07,0,5,2,498.6409669,13,0.000000225,8.73E-13,6.25E-08,21.95535861,0.064522362,0.501809475,3.178239246,58.29695589,NorthWest,4,9,1,0,0,0,1,2,1,4,2,0,0,0,1,4,3
